Id. Acidente,Id. Peao,Sexo,Acções Peão,Lesões a 30 dias,Tipo Peão,Material Reflector,Peao Gr.Etario(<=5) SUM,Peao Gr.Etario(6-9) SUM,Peao Gr.Etario(10-14) SUM,Peao Gr.Etario(15-17) SUM,Peao Gr.Etario(18-20) SUM,Peao Gr.Etario(21-24) SUM,Peao Gr.Etario(25-29) SUM,Peao Gr.Etario(30-34) SUM,Peao Gr.Etario(35-39) SUM,Peao Gr.Etario(40-44) SUM,Peao Gr.Etario(45-49) SUM,Peao Gr.Etario (50-54) SUM,Peao Gr.Etario (55-59) SUM,Peao Gr.Etario (60-64) SUM,Peao Gr.Etario (65-69) SUM,Peao Gr.Etario (70-74) SUM,Peao Gr.Etario (>=75) SUM,Peao Gr.Etario(Não Def.) SUM
20232541822,1,Masculino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20232542282,1,Masculino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20232543361,1,Masculino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20232543412,1,Masculino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20232543443,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20232543978,1,Masculino,Em plena faixa de rodagem,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20232544683,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20232544701,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20232544738,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20232544936,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20232545360,1,Masculino,Transitando pela berma ou passeio,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20232545620,1,Feminino,Em plena faixa de rodagem,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20232545643,1,Masculino,Atravessando em passagem sinalizada,Ferido leve,Peões em grupo,Não,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20232545643,2,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peões em grupo,Não,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20232545655,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20232545658,1,Masculino,Atravessando em passagem sinalizada,Morto,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20232545664,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20232545695,1,Masculino,Atravessando em passagem sinalizada com desrespeito da sinalização semafórica,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20232545699,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20232545705,1,Feminino,Transitando pela berma ou passeio,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20232545745,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20232545747,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20232545758,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20232545768,1,Masculino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20232545939,1,Feminino,Transitando pela berma ou passeio,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20232546053,1,Feminino,Atravessando em passagem sinalizada,Ferido leve,Peão isolado,Não,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20232546540,1,Feminino,Em plena faixa de rodagem,Morto,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20232546808,1,Feminino,Em plena faixa de rodagem,Ferido grave,Peão isolado,Não,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
